,10,20,50,100,200,500,1000,10,20,50,100,200,500,1000
1,4.965,7.271,2.055,1.543,1.320,1.180,1.123,9.174,10.742,2.397,1.685,1.432,1.246,1.158
2,2.592,4.087,4.050,1.835,1.403,1.200,1.131,3.533,5.088,5.687,1.943,1.503,1.238,1.160
5,1.604,2.124,3.758,6.363,2.004,1.323,1.176,3.680,2.761,4.328,6.977,2.114,1.350,1.196
10,1.308,1.573,2.356,3.692,6.362,1.680,1.293,3.370,2.301,2.697,4.059,6.599,1.721,1.310
