,10,20,50,100,200,500,1000,10,20,50,100,200,500,1000
1,1.555,1.369,1.218,1.143,1.098,1.061,1.042,1.817,1.480,1.251,1.167,1.115,1.073,1.048
2,1.955,1.667,1.395,1.256,1.174,1.106,1.073,2.274,1.805,1.457,1.284,1.192,1.117,1.078
5,2.244,2.264,1.757,1.489,1.323,1.193,1.131,2.722,2.612,1.861,1.543,1.347,1.209,1.140
10,1.997,2.261,2.203,1.785,1.507,1.293,1.197,2.553,2.607,2.326,1.871,1.541,1.310,1.208
