,10,20,50,100,200,500,1000
1,1.5593663726486318,1.3726883594088446,1.2154607836381242,1.1424654550062188,1.0993551145400693,,
2,2.0147952137128473,1.6699745750062633,1.3849940069232212,1.2568649310652067,1.1753020605084241,,
5,2.0640287384218663,2.315963084545136,1.740571451625343,1.4885670152708925,1.3220957042113046,,
10,1.7672998785564042,2.1195174221444106,2.2084937037109897,1.7843402493662142,1.5049133997869706,,
