0
"[37990.31100746868, 32845.89760536114, 25646.605767470675]"
"[60677.89142207171, 46990.72832136609, 36530.796327200784]"
"[68564.95440816955, 57548.37096006664, 44933.08518215127]"
"[52819.312867134526, 44851.94678275097, 35209.95069630826]"
"[59690.68840738709, 51498.14660415613, 39834.09610028178]"
"[54402.88758068351, 46168.73680322545, 35886.38469850093]"
"[60751.805234047504, 51363.69052221279, 39940.55484210846]"
"[72895.86040538637, 56389.48327797413, 44046.33542593878]"
"[56941.59465306738, 43984.176555435064, 34089.673898562374]"
"[61487.931228277164, 49840.082524088255, 38886.23976574474]"
"[51687.67083685922, 47202.45536767281, 36978.21910424956]"
"[53678.9840536897, 44605.33934614428, 34514.99638799133]"
"[51924.11233056161, 41690.05605161506, 31964.337055753505]"
"[64953.78042455649, 50510.30868614251, 39440.553439518386]"
"[65097.83237175459, 53981.05300917111, 42403.222902685506]"
"[48359.877379239246, 42016.693336708646, 32324.000153217552]"
"[58005.96367085385, 44765.723766370764, 34969.152979179824]"
"[68398.59471822942, 50852.01236448168, 39632.259249452865]"
"[53628.4685144491, 44560.90602365967, 34881.769101870894]"
"[49131.551681911835, 41355.63018597896, 32207.585861212407]"
"[59050.88150075439, 44570.75825347819, 34532.479867252885]"
"[51291.1336863972, 41254.64568619088, 32324.50426390498]"
"[55584.324761216456, 45311.51368288942, 35322.827286252956]"
"[49162.656438255864, 41628.10644153294, 31995.81627603611]"
"[61476.13433101309, 50642.90805390778, 39659.923354055725]"
"[49716.16182684424, 39597.06431287609, 30664.801942139547]"
"[63568.77566932722, 50836.00538622611, 39663.22439114947]"
"[58197.26787089036, 45122.86961601639, 34924.505433963706]"
"[35807.86476588635, 30486.142057509747, 23480.975736427605]"
"[45131.52738402409, 36383.81270237103, 27880.048534932135]"
"[44908.20697519955, 38089.96667413118, 29516.340133525333]"
"[51726.81794864504, 44419.38781587079, 34594.04565944324]"
"[55648.587563324676, 45238.31089589783, 35448.87022869422]"
"[62100.74578703153, 50777.21744054886, 40022.614318773245]"
"[47150.99022512609, 37722.22442547155, 29469.087570200136]"
"[54666.68297306258, 43773.74710982275, 34047.61983250039]"
"[42516.04931138442, 37965.15955298795, 29599.454087052374]"
"[64595.24112579723, 49289.45250998161, 38352.842808516834]"
"[71838.93482317719, 55090.661391306836, 43018.000698869764]"
"[50292.35266996715, 38325.87911744602, 29450.07158858558]"
"[37765.66824975588, 31631.85226556382, 23873.931327778955]"
"[53554.052616030414, 47693.002959992795, 37032.11443383027]"
"[44380.18643382281, 34960.21449522411, 27070.101711539523]"
"[70885.44821126587, 57327.329514025274, 45324.82713121273]"
"[56401.70881392477, 48376.95383499117, 38203.487877809406]"
"[46791.43682423939, 38275.369837685335, 29755.258985638124]"
"[47986.17029502994, 40199.969264881256, 30710.51430029819]"
"[53247.23144052152, 45629.64729898455, 36140.46703157737]"
"[72486.22173429595, 56907.48046828295, 44910.048810299726]"
"[52245.98668373819, 39303.65464274813, 30350.201805383578]"
