0,1
"[26.29407171920095, 23.029032, 12.529677499999998]","[16.020950688119516, 14.530448, 12.532296]"
"[12.586648235892893, 12.525925, 9.523254999999999]","[12.581127235892893, 12.515357999999999, 9.517734]"
"[17.72599970767868, 17.529592, 14.537471166666666]","[15.704499707678682, 15.531206000000001, 14.513372333333333]"
