0
"[77527531.4709282, 77433452.65545838, 77230808.42419474, 394851.38430667744]"
"[78378267.54536529, 78314931.00716414, 78122692.45020962, 375061.2990963969]"
"[76786972.12996192, 76711476.01342864, 76513502.53962542, 385020.75192846556]"
"[73915175.46809891, 73848999.21331497, 73656232.79304738, 375848.17483124597]"
"[73638022.0360311, 73559647.83941336, 73366412.98835039, 376201.73724519496]"
"[78800026.776609, 78728861.8360213, 78526782.74806993, 393762.2309943588]"
"[74103568.5676372, 74034387.8233268, 73846446.56516014, 366493.2445443365]"
"[77621669.67621936, 77548913.66353956, 77352319.40891193, 383632.2959173637]"
"[77590188.98725764, 77518424.573119, 77320409.85594493, 385854.8664523143]"
"[75963507.34415482, 75881970.11177842, 75688612.7240166, 377114.13182215375]"
"[75846738.69928494, 75757735.44150768, 75562837.98526405, 380199.39722005563]"
"[77315245.8286596, 77236671.11074899, 77038425.03277339, 386650.69426281867]"
"[75053653.39180972, 74989822.09073842, 74796794.54139617, 376317.19754125143]"
"[76179555.6511345, 76089901.97166628, 75894953.54484218, 380050.10278938175]"
"[75383815.77154179, 75313656.20205995, 75119050.59023395, 379675.5051184092]"
"[80132366.31471154, 80053614.80284043, 79853668.00390111, 389241.6876544013]"
"[74470902.85790405, 74405534.95382266, 74208643.45123442, 383811.4815188299]"
"[75479916.56979884, 75418928.03000683, 75223110.09716716, 382438.9302308403]"
"[74670511.0353691, 74603243.94500473, 74410660.57194434, 375579.8949473299]"
"[75968135.00726852, 75892597.23994622, 75699665.50979105, 376413.5829376487]"
"[73140337.73103973, 73066950.91106828, 72873069.88542192, 378385.99157702056]"
"[72877117.85164565, 72812663.66732496, 72622033.28536005, 372069.1587850879]"
"[70586448.1896434, 70514562.0038275, 70325681.52107227, 368200.58463591646]"
"[75157447.5377578, 75070707.33873744, 74875677.58304243, 380476.24470821506]"
"[75738970.73986101, 75670266.12155163, 75481396.32610984, 368138.85787828045]"
"[75998003.99552765, 75926399.97329867, 75719812.94787529, 403120.2520541434]"
"[73969204.73051623, 73894090.7784969, 73698816.10413285, 380733.1664150563]"
"[76132124.74833177, 76035786.41300748, 75838542.77641034, 384761.7705471129]"
"[72814773.738688, 72724597.37325902, 72531089.35656123, 377089.5316851158]"
"[72785625.08439618, 72713195.34498534, 72518234.05356278, 380135.86019231315]"
"[77095962.63394856, 77022970.28413995, 76823694.37955087, 388463.9765844559]"
"[76095508.48459539, 76013346.24558781, 75813664.90539001, 389202.9906530041]"
"[77947351.63733387, 77853354.99976054, 77646789.31557496, 402047.98970714386]"
"[75251549.43092006, 75179427.0182128, 74983244.55681959, 382285.73150947125]"
"[74953591.86136784, 74883260.43064551, 74684093.83554511, 388052.0664843403]"
"[79976636.29268949, 79899255.50077066, 79692672.51703566, 402457.31712481816]"
"[74900347.71016686, 74806853.53007577, 74607597.19333011, 388156.61042527785]"
"[73765505.8923916, 73687917.019436, 73495837.0720837, 374616.95746115106]"
"[79914832.07292591, 79835207.37066405, 79631082.92487304, 397833.66242897615]"
"[78280213.68778391, 78204071.53474076, 78001389.86430228, 395041.42894926993]"
"[75637402.67790128, 75534701.28649911, 75340684.5576902, 378432.28290479793]"
"[77170680.17106837, 77107570.42251554, 76910747.53350228, 383182.08752190706]"
"[74618857.00816114, 74527145.7450614, 74317640.66661848, 408096.08726805577]"
"[71939833.47781178, 71863829.85907382, 71671713.50357361, 374415.2266159931]"
"[73776237.89429319, 73700909.27866958, 73509856.76413742, 372432.76781592204]"
"[76183668.90227151, 76105556.58561233, 75909567.64118448, 382484.01328075014]"
"[75860708.35421635, 75787391.49345596, 75589855.51214494, 385341.4544642426]"
"[75101080.0225061, 75038970.85479444, 74850240.42772298, 368119.7211824941]"
"[77946020.16826397, 77864528.32206288, 77663575.01144683, 391407.140578423]"
"[73102971.9501528, 73027647.62542, 72835581.07283069, 374759.67879008985]"
