0,1,2,3
"[82660.30236659649, 82663.77146087482, 77823.62179048875]","[81856.59049675502, 81838.39992154969, 77823.62179048875]","[82433.82279829742, 82077.62838760322, 77823.62179048875]","[83322.37020440344, 82754.63123116951, 77823.62179048875]"
"[106560.35998498613, 106073.73538138073, 99498.52204340842]","[103611.68467387022, 103416.55078653859, 99498.52204340842]","[105271.181119026, 105099.91967228684, 99498.52204340842]","[105049.46870778485, 105036.45776185472, 99498.52204340842]"
