0
"[47688672.51057546, 47628313.53745113, 47505322.77852499]"
"[47526779.275831684, 47454530.65161759, 47321711.368068434]"
"[47954157.19324555, 47895969.62196135, 47780114.22041379]"
"[45476623.19927766, 45416528.94921003, 45289530.30988759]"
"[48687760.19378183, 48627826.21394962, 48501715.51185533]"
"[46113124.648499586, 46035203.73770413, 45916625.36659288]"
"[45842334.726802096, 45753124.156934835, 45622004.70266319]"
"[47810536.13833867, 47744768.73428435, 47629331.82636351]"
"[46971146.65770709, 46900844.68213746, 46776523.65966441]"
"[45628020.28948349, 45590947.432398185, 45473895.103950225]"
"[45212128.46000969, 45151348.67310106, 45025286.02443364]"
"[47858585.29918386, 47735222.79830513, 47612090.60618888]"
"[46390729.83451804, 46329906.80744785, 46214745.32337521]"
"[46028685.28132626, 45970538.74281406, 45847776.82141813]"
"[45934508.674894676, 45856891.16007297, 45739126.88156489]"
"[47510566.92060178, 47436867.18140402, 47307417.44315311]"
"[47028898.88328832, 46964758.615669586, 46839708.20786182]"
"[45565939.23984416, 45515152.00435478, 45401461.276708506]"
"[48350865.9566164, 48277513.5042365, 48145596.95903732]"
"[47710015.99542495, 47643845.22584579, 47510647.87785149]"
"[46404394.55697496, 46331555.92815679, 46212759.89189014]"
"[48460420.296762995, 48399528.20566282, 48271809.37198516]"
"[48851136.28807192, 48794823.19264177, 48676875.537753984]"
"[48144449.61378817, 48039993.546763845, 47906916.07288685]"
"[46360526.869092196, 46286193.09281906, 46170213.38367488]"
"[47218914.60730688, 47153357.99402328, 47028483.07705736]"
"[45643400.50098661, 45587292.8778762, 45456271.21288085]"
"[47641887.19372442, 47553218.755774386, 47432641.30219365]"
"[49338179.32161553, 49274291.79762438, 49151197.612386554]"
"[46590883.87792385, 46503327.686711244, 46376070.522525325]"
"[51584628.80960198, 51529225.57454256, 51406396.03588186]"
"[45950899.034611866, 45897180.92043949, 45781884.06360842]"
"[47592181.51231548, 47526289.63465703, 47400830.97807486]"
"[44695109.893595636, 44628636.71111643, 44508554.761678636]"
"[48887755.49834476, 48821238.0255852, 48688358.995851725]"
"[45074292.16688319, 45019310.674329974, 44886396.822004825]"
"[44616658.51615808, 44556537.54982585, 44434379.34030458]"
"[47293223.00145476, 47228208.53970086, 47109994.18384792]"
"[48081289.08516734, 48029095.7616665, 47905742.08912297]"
"[46017361.85851615, 45942558.06783304, 45820378.06606948]"
"[46119292.86393601, 46038381.00340189, 45912549.72000152]"
"[49530041.843244895, 49465765.18272977, 49337790.742392674]"
"[47198170.61844795, 47123333.21762014, 46999544.162926406]"
"[44892665.40044908, 44841846.166569866, 44720036.70939507]"
"[46523037.11363889, 46447026.85699761, 46320280.4623906]"
"[44983233.63636666, 44941888.94830118, 44825443.35670646]"
"[47227006.62186724, 47143440.07116046, 47019261.76300248]"
"[47403910.1571939, 47327174.864760205, 47194745.71446802]"
"[45262827.08726775, 45214309.68722355, 45097131.46317607]"
"[45381806.77236877, 45281981.823418215, 45152122.49855337]"
