0
"[20043.089216594955, 20011.034209030782, 19684.031638431872, 638.8875988888528]"
"[20614.864905119426, 20590.356075093863, 20315.44715238503, 537.1377433466187]"
"[20746.514672417245, 20703.365334049286, 20408.709273802142, 575.4819354802842]"
"[22800.356801751288, 22746.66674001849, 22493.770983369297, 494.5460134461139]"
"[22553.0510980973, 22524.63227398577, 22184.908985396443, 663.839323760165]"
"[23124.115591217662, 23087.01196000324, 22773.21581010247, 612.9767836305967]"
"[20853.416140254092, 20816.906735331133, 20543.49389374546, 533.8907881786421]"
"[21923.481483285068, 21889.0984593717, 21603.43670621425, 558.1640931406761]"
"[23723.32296670673, 23682.271147227788, 23409.68639181932, 532.5966103539894]"
"[20680.41084953711, 20655.6188418552, 20350.470158609194, 596.1669498160644]"
"[21662.205181251476, 21615.596430086545, 21318.464373272185, 580.5589753164726]"
"[21474.343331234766, 21418.24656732414, 21132.364220993488, 558.139621298944]"
"[22404.867425512897, 22341.022583526763, 22061.433532732655, 546.3716396538565]"
"[21524.867061208544, 21479.778587198485, 21195.11467872033, 556.1977687210938]"
"[23084.572308006707, 23033.2834217077, 22729.66641986795, 593.2297489761482]"
"[18234.29599791983, 18206.39920066734, 17949.285913120835, 502.7474332000555]"
"[21823.55333844437, 21771.577560764308, 21498.53052855995, 533.4998415496079]"
"[19103.298517124527, 19058.28146623122, 18790.80043456546, 522.2749842301134]"
"[18724.453938750034, 18712.67788043934, 18459.86257840755, 494.01123999878575]"
"[20297.550046291235, 20271.561251743035, 20004.951645827456, 521.0316498119299]"
"[21297.322739446736, 21251.062080459862, 20964.759058212436, 558.8101617078705]"
"[18437.600555225865, 18408.516663214963, 18150.459136204823, 503.8499311144283]"
"[23174.01131790961, 23121.013999021405, 22840.837658041884, 547.4296215995813]"
"[19669.25640272548, 19645.8912227419, 19332.000047240013, 611.3504641383632]"
"[20616.07309880795, 20544.52541938522, 20251.573647947043, 572.3680650612827]"
"[18770.50877676837, 18732.235864468355, 18472.142901687857, 508.1638641154458]"
"[19687.5341366722, 19614.1877753333, 19310.056100182144, 594.7809435382705]"
"[18450.89251260538, 18398.566760962418, 18122.064182925817, 540.2481355317166]"
"[18409.058568995984, 18375.595013866, 18123.01103240215, 493.5175929254492]"
"[23087.79751681715, 23067.00672132909, 22772.928999604363, 574.5911855434067]"
"[21634.798628049328, 21579.19286815272, 21267.305922725038, 609.3758926944716]"
"[19759.700051360902, 19704.69152043356, 19401.679250875124, 591.9455633191684]"
"[19477.62954647458, 19430.049408815055, 19140.008120013445, 566.7044991087697]"
"[19633.449147069685, 19588.654291381994, 19325.877391801012, 513.4332834807107]"
"[18097.255617939692, 17999.716156995586, 17716.373314581437, 553.6165704193548]"
"[21525.37878302408, 21473.744793430575, 21141.85553519545, 648.4702113441641]"
"[16653.574599057927, 16621.45803802612, 16361.332006024602, 508.25381889472595]"
"[22534.562811103333, 22480.645910734474, 22189.16601588657, 569.7493951634425]"
"[19764.838609398194, 19713.48593914274, 19460.006138732057, 495.3749153800849]"
"[22565.196071113733, 22534.05412130472, 22237.26261320079, 579.126080320231]"
"[20179.88078832716, 20122.87721828972, 19819.48488197658, 592.7907805615181]"
"[20431.54757348364, 20385.634293147585, 20121.2743282886, 516.5263955653203]"
"[22103.549562393946, 22073.61977074885, 21806.328291316655, 522.2542093697233]"
"[19647.927229786983, 19529.619793312464, 19263.989390112314, 518.830885127374]"
"[20092.883478800228, 20057.38462619883, 19774.338188434624, 552.9998113668548]"
"[19457.733164241574, 19416.080758072654, 19150.599857202862, 518.7165647069775]"
"[19664.155641008103, 19659.68689637937, 19404.910916793975, 497.80048382919097]"
"[19554.88294270595, 19489.145033965156, 19224.997340568374, 516.1116436065465]"
"[20787.10502215945, 20768.085268515868, 20434.44480248723, 652.0304637490101]"
"[19140.122486708267, 19118.829908895157, 18902.063068201838, 423.5353676231894]"
