,10,20,50,100,200,500,1000
1,1.1500223999855421,1.0997064965080319,1.0557720686064995,1.0305138601380275,1.0184801203062366,1.009205852375352,1.0051878984295468
2,1.1062665140976677,1.0610621512419152,1.025368702395114,1.0130034902127694,1.0065751428966463,1.0026513699121435,1.0013372386018085
5,1.0962615883001086,1.052162821097706,1.0210515765889778,1.010607905363437,1.005319810473902,1.0021407332119423,1.001070998279076
10,1.0948782586389176,1.0511792111109584,1.0205501348638557,1.010368585212928,1.0051888427061515,1.0020855752390467,1.0010432634636055
