,10,20,50,100,200,500,1000,10,20,50,100,200,500,1000
1,1.147,1.098,1.055,1.035,1.021,1.011,1.006,1.244,1.162,1.080,1.047,1.027,1.013,1.007
2,1.303,1.237,1.150,1.110,1.078,1.049,1.036,1.446,1.336,1.203,1.141,1.102,1.061,1.042
5,1.539,1.451,1.311,1.223,1.162,1.102,1.072,1.758,1.640,1.385,1.271,1.185,1.119,1.082
10,1.688,1.615,1.448,1.336,1.248,1.158,1.112,1.825,1.743,1.570,1.403,1.280,1.178,1.123
