0,1,2,3
"[1692.5427335586978, 1288.3079470992534, 687.7053246323665]","[789.8034484581124, 828.4207338122208, 687.7053246323665]","[1079.934204656171, 1078.8595324065827, 687.7053246323665]","[1468.1926900093497, 1447.7514375152143, 687.7053246323665]"
"[913.2524033925446, 902.0236933059105, 642.2320730486292]","[1308.8895984843193, 1196.935234077929, 642.2320730486292]","[688.9343761475732, 658.5279678566911, 642.2320730486292]","[793.7119509152544, 744.511871975049, 642.2320730486292]"
