,10,20,50,100,200,500,1000,10,20,50,100,200,500,1000
1,1.227,1.155,1.086,1.051,1.032,1.015,1.009,1.387,1.263,1.127,1.080,1.048,1.021,1.015
2,1.242,1.156,1.086,1.053,1.032,1.014,1.009,1.345,1.223,1.117,1.070,1.041,1.017,1.012
5,1.205,1.115,1.054,1.027,1.014,1.005,1.003,1.301,1.152,1.079,1.036,1.016,1.006,1.003
10,1.204,1.113,1.052,1.026,1.013,1.005,1.003,1.298,1.161,1.073,1.035,1.015,1.006,1.003
