,10,20,50,100,200,500,1000,10,20,50,100,200,500,1000
1,1.534,1.364,1.225,1.156,1.110,1.067,1.046,1.843,1.467,1.285,1.203,1.138,1.078,1.052
2,1.498,1.345,1.210,1.141,1.102,1.063,1.043,1.739,1.452,1.306,1.180,1.127,1.076,1.048
5,1.522,1.259,1.108,1.055,1.027,1.011,1.005,1.775,1.364,1.143,1.071,1.031,1.012,1.006
10,1.535,1.257,1.104,1.052,1.026,1.010,1.005,1.806,1.364,1.134,1.066,1.029,1.012,1.006
