0
"[5986828.049084266, 5251869.5180991385, 5120355.3668367]"
"[6020978.29493274, 5417922.640696974, 5279726.891345851]"
"[5901616.681708544, 5430720.629914676, 5297568.9368301565]"
"[5462748.66621478, 4870562.015594126, 4750326.9557682]"
"[5561113.622379544, 5107260.910026892, 4980372.688321252]"
"[5982302.441213015, 5494717.078194285, 5362006.705976167]"
"[5925513.776844498, 5321360.771693855, 5191079.242694077]"
"[5686833.733028442, 5185628.158009465, 5051583.925144454]"
"[5824174.202813922, 5199784.118119914, 5071585.544291488]"
"[6081004.1016152715, 5450751.781882703, 5322116.762517398]"
"[5768571.790986196, 5386144.265882692, 5252999.217188789]"
"[5436753.323488212, 4921955.511781855, 4794016.537803119]"
"[5549688.543131714, 5138430.5100788, 5010511.182460113]"
"[5730134.745940728, 5235129.160634779, 5107323.98171881]"
"[5567952.037961081, 5067401.345025304, 4938375.998398444]"
"[6045092.877705628, 5623445.575554541, 5487429.08319768]"
"[5529300.77974921, 5108554.9031223925, 4977941.421805665]"
"[5239603.320569295, 4837141.576292852, 4711926.730180951]"
"[5831528.621020783, 5294870.363082528, 5163415.67186024]"
"[5289062.612097443, 4831553.209267423, 4711031.751473398]"
"[5970636.127105307, 5460575.736475762, 5326788.07365814]"
"[5341989.6583278505, 4825348.155441442, 4704245.938495947]"
"[5618462.896305004, 5076905.846817561, 4950326.656297185]"
"[5629347.333048193, 5127815.51854977, 4996917.664624327]"
"[6006693.577265831, 5473176.069364335, 5340264.9204528695]"
"[5837209.225586233, 5281683.487681298, 5154498.9358905535]"
"[5668055.503232071, 5148279.101411819, 5018699.79288615]"
"[5604119.032724613, 5040353.149930872, 4914881.947856825]"
"[5641152.0975414775, 5096262.8676761845, 4971757.624229927]"
"[5980721.956510694, 5460533.660011097, 5329431.321512851]"
"[6272476.690535959, 5674390.0005243495, 5536287.29958665]"
"[5655328.830144178, 5232614.850530069, 5103485.45962068]"
"[5295383.709742793, 4738704.28576242, 4615819.614514143]"
"[5844835.77636619, 5362629.834133603, 5229066.095587701]"
"[5205566.39518495, 4729432.452867332, 4607978.589055983]"
"[5308497.525573323, 4858495.942375644, 4735654.731299565]"
"[5367948.362475363, 4912729.902419632, 4789655.973234032]"
"[5455349.012818802, 5088926.656684824, 4963785.96537707]"
"[5701177.078620045, 5188263.888207539, 5061529.1007091]"
"[6265301.101344021, 5802720.97527738, 5658885.992180294]"
"[5525169.481814041, 5052796.222441728, 4924430.385075779]"
"[5135030.430478438, 4720679.019116588, 4599339.229265674]"
"[5817193.224939213, 5318243.144536413, 5184351.775410897]"
"[5534637.935798069, 5082376.271448015, 4952217.905457796]"
"[6090370.247149355, 5552578.877400189, 5417110.703927571]"
"[5946334.840372032, 5475460.303787734, 5340095.841999251]"
"[5565747.595325391, 5153158.03102032, 5021290.338592859]"
"[6184224.44411982, 5698288.246609494, 5564248.476578203]"
"[5744087.699141018, 5126007.151091535, 4997816.464070925]"
"[5642578.919519331, 5187348.632991166, 5053025.409968582]"
