0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
"[783390.227433521, 771112.3961218148, 721712.7649877054]","[794424.6268450647, 771354.0346021904, 721712.7649877054]","[771572.9163618195, 763505.1410329693, 721712.7649877054]","[762992.6113458911, 758708.8281943599, 721712.7649877054]","[762723.1426144284, 758624.7553605186, 721712.7649877054]","[776949.4285500663, 770194.473413646, 721712.7649877054]","[810905.6357724041, 775059.2516319929, 721712.7649877054]","[768088.1449689285, 763584.2718479822, 721712.7649877054]","[781698.7942689535, 768916.7803799, 721712.7649877054]","[783778.0662111737, 768158.1312171894, 721712.7649877054]","[779885.9013909631, 770289.5881025129, 721712.7649877054]","[771937.895110642, 763768.752874689, 721712.7649877054]","[778882.4483026353, 763166.2172280133, 721712.7649877054]","[771674.6979193885, 768311.3764828539, 721712.7649877054]","[767488.6882691252, 754582.8989891416, 721712.7649877054]","[785484.4123417628, 765923.0235265493, 721712.7649877054]","[768586.9392808791, 763597.8723480706, 721712.7649877054]","[792503.5004328026, 770385.4217893146, 721712.7649877054]","[765804.7633663425, 758823.7368595687, 721712.7649877054]","[778982.0127560499, 766447.1620343488, 721712.7649877054]","[771704.5910144456, 765197.0209847116, 721712.7649877054]","[779977.064653373, 764023.5718978004, 721712.7649877054]","[764627.0802886089, 758824.1757711055, 721712.7649877054]","[774918.5799208651, 763726.858131243, 721712.7649877054]","[774487.0450350118, 767020.2140015629, 721712.7649877054]","[786177.4154802081, 769460.7495929688, 721712.7649877054]","[793043.7532785605, 770739.7485171882, 721712.7649877054]","[779043.6173649806, 765503.5631525675, 721712.7649877054]","[773359.9993734104, 763135.6003245902, 721712.7649877054]","[774655.5794626845, 767254.5355916782, 721712.7649877054]","[787907.5836612838, 770134.6980312986, 721712.7649877054]","[786600.1945997959, 768943.1264362402, 721712.7649877054]","[757241.1467653629, 757702.472990931, 721712.7649877054]","[780513.1166693523, 767933.1474710281, 721712.7649877054]","[767514.3205870029, 759056.5927206397, 721712.7649877054]","[783427.7768605704, 769217.2385193607, 721712.7649877054]","[784633.8865666044, 767156.9046711755, 721712.7649877054]","[772390.6709697538, 764233.6134974187, 721712.7649877054]","[775414.0500173728, 765519.0109962743, 721712.7649877054]","[759668.7923054086, 755611.5646024327, 721712.7649877054]","[789332.7447081777, 774005.3921258929, 721712.7649877054]","[771394.3859162611, 764184.2888508424, 721712.7649877054]","[779204.7412952433, 764631.4386976326, 721712.7649877054]","[768478.4753382074, 762718.4163417402, 721712.7649877054]","[780420.530102585, 766393.6079288637, 721712.7649877054]","[794984.3962358241, 769744.7460987831, 721712.7649877054]","[804892.8906202994, 775526.8999858587, 721712.7649877054]","[776592.4446979101, 766862.9234437592, 721712.7649877054]","[776878.0054682841, 764447.0350462822, 721712.7649877054]","[777924.580976825, 763384.3085037544, 721712.7649877054]"
"[815371.8062766987, 806896.3035092328, 767913.7014690873]","[808590.1264740836, 803309.7970580198, 767913.7014690873]","[832684.9427022722, 814679.1652518876, 767913.7014690873]","[800874.5087147657, 795618.1581681903, 767913.7014690873]","[859504.3210562131, 818470.8411245241, 767913.7014690873]","[804419.371490252, 799451.0134760874, 767913.7014690873]","[853181.5997652273, 820328.5033649155, 767913.7014690873]","[838448.6307202268, 812127.0908607604, 767913.7014690873]","[842530.446381971, 813047.0178014686, 767913.7014690873]","[819667.3929236017, 808294.138404272, 767913.7014690873]","[821428.3309777246, 809858.6552740413, 767913.7014690873]","[824624.0326027133, 806271.0531452739, 767913.7014690873]","[815587.9580547214, 806083.8248050626, 767913.7014690873]","[817867.5399933686, 802462.5819460656, 767913.7014690873]","[852879.6253579425, 817899.1742706042, 767913.7014690873]","[829031.414506068, 813810.4662401212, 767913.7014690873]","[810697.765928914, 806784.5182431589, 767913.7014690873]","[814947.3027528736, 806810.9449337692, 767913.7014690873]","[811832.9649066358, 805107.3160780374, 767913.7014690873]","[802654.2438665886, 802771.1575402919, 767913.7014690873]","[809048.7375128847, 802454.7049793882, 767913.7014690873]","[857745.615007515, 821418.7866669607, 767913.7014690873]","[819650.7488329529, 806088.301844179, 767913.7014690873]","[803681.3863071703, 801612.2811326493, 767913.7014690873]","[818525.52844877, 800752.3528139835, 767913.7014690873]","[822749.6119297028, 807381.322603847, 767913.7014690873]","[810664.3116149358, 803066.82674177, 767913.7014690873]","[807674.0370799983, 804771.0716168812, 767913.7014690873]","[813544.653029862, 805780.5212354499, 767913.7014690873]","[805517.3205798174, 799296.4652368644, 767913.7014690873]","[823608.4076506874, 810365.3414987334, 767913.7014690873]","[813033.0986482442, 797759.5900599838, 767913.7014690873]","[819034.1084333223, 810259.6023903495, 767913.7014690873]","[798752.8615357819, 797841.8204435647, 767913.7014690873]","[807856.7060737056, 803653.1827121741, 767913.7014690873]","[805346.7692386034, 803469.8008101449, 767913.7014690873]","[804449.391507257, 803905.5054411226, 767913.7014690873]","[813700.6206006651, 805515.6767595623, 767913.7014690873]","[815681.5652654505, 802936.2466579411, 767913.7014690873]","[808476.5087756497, 800736.4409042943, 767913.7014690873]","[821362.7821675088, 804728.7988958757, 767913.7014690873]","[828732.1481458381, 806247.7312887259, 767913.7014690873]","[807483.169282151, 799703.200701237, 767913.7014690873]","[801769.2305669757, 798159.8963505317, 767913.7014690873]","[802421.6463108417, 798019.3677932819, 767913.7014690873]","[830978.3627408051, 807626.0978293201, 767913.7014690873]","[808113.8716069012, 805468.1591708203, 767913.7014690873]","[830856.6672003556, 810925.3702558662, 767913.7014690873]","[822346.3215467791, 812459.39270581, 767913.7014690873]","[815762.1340032201, 807376.1896495534, 767913.7014690873]"
"[842727.9815884574, 841785.1003775027, 809013.7793404908]","[865164.1727783323, 850632.0727370585, 809013.7793404908]","[848271.6349624672, 846184.1476760416, 809013.7793404908]","[863356.0744977825, 851320.5642398375, 809013.7793404908]","[854449.8809262158, 850657.0405442542, 809013.7793404908]","[861200.6082929691, 847756.0740895206, 809013.7793404908]","[850333.3086263164, 844111.9640716558, 809013.7793404908]","[867925.6586473357, 853281.4561283422, 809013.7793404908]","[857714.0247008216, 849196.591981222, 809013.7793404908]","[879509.4226714622, 861251.2178030881, 809013.7793404908]","[890886.420235018, 862795.5819156406, 809013.7793404908]","[848484.4759489209, 843874.2732317556, 809013.7793404908]","[858613.4815873243, 845675.4590198898, 809013.7793404908]","[857720.4477078882, 850718.9342284414, 809013.7793404908]","[870594.1223760244, 852849.4577121153, 809013.7793404908]","[861399.0822001657, 851495.6309060475, 809013.7793404908]","[868111.6118385791, 853050.9706575512, 809013.7793404908]","[864063.0915146002, 852063.2588023994, 809013.7793404908]","[851886.8280926544, 849069.2269063871, 809013.7793404908]","[853577.4695587021, 841080.0250776053, 809013.7793404908]","[868583.4161976873, 854656.6045134322, 809013.7793404908]","[847530.494651957, 846321.2979544821, 809013.7793404908]","[866215.7833860016, 848614.853528243, 809013.7793404908]","[873861.1462687753, 854531.2233613095, 809013.7793404908]","[861498.6126834082, 849941.0757380112, 809013.7793404908]","[870757.9921248208, 849760.6070288528, 809013.7793404908]","[841423.9939759105, 842486.1362593569, 809013.7793404908]","[845901.3048723202, 842206.8860633335, 809013.7793404908]","[855553.408353762, 847745.0905519838, 809013.7793404908]","[856086.1040000007, 847094.1174825338, 809013.7793404908]","[846477.9344343593, 839490.9485580848, 809013.7793404908]","[878556.3646586091, 861453.437143496, 809013.7793404908]","[842782.148141559, 843454.7814882657, 809013.7793404908]","[865083.8981829038, 853071.334688346, 809013.7793404908]","[850595.6334552909, 845857.0759275208, 809013.7793404908]","[850594.702576793, 847624.3706326194, 809013.7793404908]","[842363.2065379628, 839201.6171737838, 809013.7793404908]","[873919.1471182406, 849766.3490258863, 809013.7793404908]","[859338.9335580893, 848595.7278389094, 809013.7793404908]","[853365.8804555102, 847788.6370861749, 809013.7793404908]","[856195.57963056, 847046.2591672724, 809013.7793404908]","[857546.0095923858, 849395.9667395876, 809013.7793404908]","[860443.2189285953, 853510.5456082663, 809013.7793404908]","[891044.3318677951, 856759.6161505607, 809013.7793404908]","[860722.6380011779, 846433.0683048795, 809013.7793404908]","[859084.4748881188, 852565.0232234803, 809013.7793404908]","[855355.0175283124, 845827.3675691929, 809013.7793404908]","[850355.6839080099, 843567.4934277508, 809013.7793404908]","[874741.0899019095, 855561.2069808218, 809013.7793404908]","[865382.3973221767, 854330.6983705743, 809013.7793404908]"
"[816895.4176050177, 813630.6075283316, 776201.7758547683]","[833696.6423645656, 820148.8013360501, 776201.7758547683]","[828671.1779106754, 820716.5425375152, 776201.7758547683]","[816985.2509495332, 813445.5644686932, 776201.7758547683]","[852836.5587621502, 828569.5222581788, 776201.7758547683]","[829603.8921209556, 816988.1589416902, 776201.7758547683]","[830683.9983182692, 812006.7562925641, 776201.7758547683]","[808137.2588404649, 809344.3433700311, 776201.7758547683]","[823766.6525407674, 815406.2876871245, 776201.7758547683]","[810967.7018520281, 808483.7431280793, 776201.7758547683]","[837901.0127245778, 821770.2645180126, 776201.7758547683]","[813509.1462357426, 808054.0292759254, 776201.7758547683]","[822727.4986712467, 814279.1113029023, 776201.7758547683]","[828330.068703248, 816087.3742208838, 776201.7758547683]","[831104.1087067922, 816498.9541533849, 776201.7758547683]","[830898.645331796, 821110.1284474824, 776201.7758547683]","[837532.7893550653, 814391.3583721764, 776201.7758547683]","[831534.471494506, 815166.685681721, 776201.7758547683]","[831080.7554235759, 816278.6074634123, 776201.7758547683]","[810335.042312466, 810687.5843222764, 776201.7758547683]","[833108.1996189356, 820160.2118165966, 776201.7758547683]","[837124.8276807494, 827690.6922099908, 776201.7758547683]","[822603.2757352231, 818000.2631256916, 776201.7758547683]","[841157.555287287, 822515.0905344002, 776201.7758547683]","[876894.3449821634, 827869.461530261, 776201.7758547683]","[828082.7124111499, 822630.7543464934, 776201.7758547683]","[858396.2138181392, 825426.1772243107, 776201.7758547683]","[820650.3712285787, 815697.9680323345, 776201.7758547683]","[831309.2044904362, 814845.6980327863, 776201.7758547683]","[819745.33464575, 812818.6182867965, 776201.7758547683]","[829104.0522452174, 818329.4766352631, 776201.7758547683]","[870771.2987450963, 825398.9966984971, 776201.7758547683]","[833525.1364855998, 817022.5830794423, 776201.7758547683]","[841592.2297749682, 824490.1820425394, 776201.7758547683]","[812667.6970917785, 813884.0577931781, 776201.7758547683]","[821572.253727362, 815477.183630217, 776201.7758547683]","[827996.5617994508, 817546.378833057, 776201.7758547683]","[847599.017548645, 830626.3177810004, 776201.7758547683]","[819114.894293852, 814423.8601794821, 776201.7758547683]","[832012.7687252685, 821556.7680897419, 776201.7758547683]","[832504.3772349856, 817453.9946403124, 776201.7758547683]","[817319.3731509928, 817462.78765837, 776201.7758547683]","[823722.0178621014, 811794.9449617061, 776201.7758547683]","[838184.3065203648, 815632.509777685, 776201.7758547683]","[825802.3775962809, 821169.3793909098, 776201.7758547683]","[828542.2041115602, 819671.9169602, 776201.7758547683]","[830773.7919687309, 817162.1028120149, 776201.7758547683]","[813029.9423878471, 812197.5180457458, 776201.7758547683]","[815485.012709498, 810825.0371468373, 776201.7758547683]","[837093.4222576325, 822421.0289005652, 776201.7758547683]"
"[772484.9256385706, 769040.8163036434, 731970.0583432952]","[778211.7367586863, 773998.2350971256, 731970.0583432952]","[793191.6733789248, 780664.2699541746, 731970.0583432952]","[785707.152746985, 779169.5529189155, 731970.0583432952]","[772824.3938506267, 768870.6420938928, 731970.0583432952]","[788966.0387016954, 774000.2315128266, 731970.0583432952]","[796321.9516031897, 782981.1842330243, 731970.0583432952]","[794781.4531494682, 780668.6762190346, 731970.0583432952]","[788470.7174530203, 780751.7681447708, 731970.0583432952]","[777252.1374960531, 773010.1380172193, 731970.0583432952]","[775510.034059542, 771507.1643634231, 731970.0583432952]","[784926.2647764595, 776221.5087395651, 731970.0583432952]","[787723.0271445131, 776700.0667332277, 731970.0583432952]","[809166.2344659568, 777484.682497426, 731970.0583432952]","[769588.0219931556, 768976.3298876572, 731970.0583432952]","[777509.0194276808, 769812.3279203092, 731970.0583432952]","[769478.8967945591, 765420.0843342112, 731970.0583432952]","[788352.8648794659, 783802.023792373, 731970.0583432952]","[788713.3984844133, 781540.167399931, 731970.0583432952]","[789648.0690430872, 781516.217268611, 731970.0583432952]","[788138.1109318768, 775183.3781487623, 731970.0583432952]","[789227.0721580688, 775657.6928858863, 731970.0583432952]","[782165.377734022, 776825.604328488, 731970.0583432952]","[779916.1857434647, 773183.8843689294, 731970.0583432952]","[773519.263768668, 771914.9794332199, 731970.0583432952]","[790367.3973433261, 784326.8093718034, 731970.0583432952]","[776475.8069148664, 773596.647286874, 731970.0583432952]","[781430.6548135959, 770500.3599691289, 731970.0583432952]","[765971.393881388, 765262.5644490399, 731970.0583432952]","[799609.571779815, 781262.948515113, 731970.0583432952]","[787035.7653398875, 775929.8297757165, 731970.0583432952]","[778462.0287678118, 771574.8458888035, 731970.0583432952]","[799662.2761968581, 779704.7806379916, 731970.0583432952]","[778439.7100161772, 769793.7246882328, 731970.0583432952]","[774305.7340774315, 765009.232223942, 731970.0583432952]","[798922.4729684929, 784087.9317277407, 731970.0583432952]","[805766.2463100298, 775311.765514208, 731970.0583432952]","[786195.9066321559, 777240.7451320239, 731970.0583432952]","[782109.7459931076, 774080.6412522674, 731970.0583432952]","[790707.0101546727, 777100.4974214507, 731970.0583432952]","[786736.4913377444, 780601.4922347896, 731970.0583432952]","[794619.6133497234, 778652.0186166548, 731970.0583432952]","[781585.4619206613, 775847.3886358922, 731970.0583432952]","[810325.5341593749, 781340.4896898136, 731970.0583432952]","[794592.9566604209, 775703.9788643532, 731970.0583432952]","[801077.7122802832, 782608.7615375168, 731970.0583432952]","[791146.8169230095, 780063.5975379116, 731970.0583432952]","[772193.1915684447, 770358.4419161878, 731970.0583432952]","[799138.9353510024, 776113.7144313667, 731970.0583432952]","[772931.3402171828, 770351.230405428, 731970.0583432952]"
"[923994.7142468931, 907728.8458763419, 855147.462295871]","[924107.2076705452, 903430.7186520728, 855147.462295871]","[945031.9144510124, 904254.770081175, 855147.462295871]","[917051.0257505869, 901093.240183101, 855147.462295871]","[902305.9895236809, 894574.8008869763, 855147.462295871]","[897624.8431344047, 894905.7657427879, 855147.462295871]","[915492.0929365994, 900803.255570966, 855147.462295871]","[918624.2522571629, 900690.0290355679, 855147.462295871]","[893521.4579145948, 890429.7647575595, 855147.462295871]","[895370.7589136995, 894612.0739727331, 855147.462295871]","[919672.7433390511, 907489.3326643653, 855147.462295871]","[907838.5763059908, 899829.8483461317, 855147.462295871]","[926621.4603031573, 905389.5631564367, 855147.462295871]","[909451.7341320695, 897387.4081675413, 855147.462295871]","[919370.8676238697, 894335.6018747191, 855147.462295871]","[903376.5861996013, 901157.0653797546, 855147.462295871]","[939394.0685734682, 905691.4102278296, 855147.462295871]","[911264.4229823324, 898229.4606051353, 855147.462295871]","[908781.3489500134, 897146.7785047422, 855147.462295871]","[907996.7669283613, 906812.6184458069, 855147.462295871]","[915293.954773712, 906605.8553765615, 855147.462295871]","[921241.9279482563, 903389.3257245457, 855147.462295871]","[910974.7907768782, 897974.2684584697, 855147.462295871]","[902042.735958072, 900121.7255971361, 855147.462295871]","[935468.389206753, 908190.80238337, 855147.462295871]","[924652.320571012, 910725.9881254275, 855147.462295871]","[916822.4549213229, 901149.1820530253, 855147.462295871]","[908470.0726133399, 896745.5543592726, 855147.462295871]","[904497.4371203636, 897600.5068513724, 855147.462295871]","[933605.5037764419, 910741.7501837397, 855147.462295871]","[906804.8609843685, 898845.3578799202, 855147.462295871]","[919685.3620039984, 909638.4890756052, 855147.462295871]","[919301.2970306076, 904306.7507783329, 855147.462295871]","[898144.1843495726, 892168.6441271623, 855147.462295871]","[908925.5206172423, 894134.5527970461, 855147.462295871]","[921872.1158125155, 903381.1438034192, 855147.462295871]","[904543.9074772516, 897191.4970258302, 855147.462295871]","[909842.3681988955, 903763.7612110925, 855147.462295871]","[934332.6879713665, 909222.0486160492, 855147.462295871]","[927347.5670574167, 909689.0249281598, 855147.462295871]","[917660.05051257, 906377.3044782571, 855147.462295871]","[896853.3608883787, 896232.0241505684, 855147.462295871]","[920035.7205015181, 908303.6024271717, 855147.462295871]","[905967.8525039778, 899122.5575655237, 855147.462295871]","[935732.8989460813, 910236.5550980067, 855147.462295871]","[922903.0192115447, 905934.4895917334, 855147.462295871]","[912523.8635683412, 901089.8797636544, 855147.462295871]","[899188.9832595347, 900283.277563043, 855147.462295871]","[911496.7287359069, 901140.6204523771, 855147.462295871]","[932353.5058573142, 903626.8661121258, 855147.462295871]"
"[763277.3173790124, 757620.4775483668, 719115.1154965329]","[758693.1362426825, 757126.8060108026, 719115.1154965329]","[769228.9506957518, 758886.0791844596, 719115.1154965329]","[748513.1305082492, 747097.6451364828, 719115.1154965329]","[760848.0637533658, 757918.3090768598, 719115.1154965329]","[781382.7213437634, 757327.1297686937, 719115.1154965329]","[787310.7683154572, 771905.8379832337, 719115.1154965329]","[793220.4847082958, 768530.2632785757, 719115.1154965329]","[777525.6894441799, 759127.1573559936, 719115.1154965329]","[763199.6256155592, 756198.8550443542, 719115.1154965329]","[757419.8138427448, 754861.7305624428, 719115.1154965329]","[767628.9681661319, 752370.5787213465, 719115.1154965329]","[766632.9879559596, 755215.8822424008, 719115.1154965329]","[768980.0515574835, 757371.2083221956, 719115.1154965329]","[761382.7477964148, 754352.6020714715, 719115.1154965329]","[795066.3420833655, 764876.9558053698, 719115.1154965329]","[763892.3678731335, 753641.312779933, 719115.1154965329]","[774553.0580451977, 762436.9925806598, 719115.1154965329]","[774964.4282722614, 761263.5444390995, 719115.1154965329]","[762432.1757847528, 755909.0978453264, 719115.1154965329]","[753800.1240303009, 749593.886212606, 719115.1154965329]","[771691.2597698322, 760796.3327987056, 719115.1154965329]","[759588.7993665002, 756599.2315508113, 719115.1154965329]","[777732.5470182649, 762394.8789360084, 719115.1154965329]","[794127.6872184041, 761330.1477809859, 719115.1154965329]","[777362.8422977448, 752806.3303239748, 719115.1154965329]","[781106.9418005104, 764744.3944684077, 719115.1154965329]","[765870.0478970895, 763469.5927008628, 719115.1154965329]","[783364.3181691678, 764048.9308673071, 719115.1154965329]","[762219.8107952877, 752779.0787769875, 719115.1154965329]","[774370.5380349121, 760361.1998141496, 719115.1154965329]","[762503.8924453591, 754360.0247556951, 719115.1154965329]","[770394.5562340431, 759852.9363802539, 719115.1154965329]","[789431.9846273736, 770535.4280311657, 719115.1154965329]","[773743.2255387271, 758656.6166878685, 719115.1154965329]","[768789.2103209101, 760082.8219045731, 719115.1154965329]","[756132.5293663525, 752149.3270154087, 719115.1154965329]","[773391.4133530264, 765928.7010157428, 719115.1154965329]","[753368.2468131084, 749185.8224421511, 719115.1154965329]","[766028.7305100886, 756889.7925644201, 719115.1154965329]","[774759.7679082139, 762899.1584100077, 719115.1154965329]","[758385.4115731776, 753347.304734169, 719115.1154965329]","[765894.4794576732, 754192.6674313272, 719115.1154965329]","[759059.7662728892, 750735.4059833062, 719115.1154965329]","[783408.3240570142, 765787.6147744264, 719115.1154965329]","[789473.8312611332, 756342.2100841311, 719115.1154965329]","[756793.7844871652, 750137.7077620253, 719115.1154965329]","[751321.3703658041, 750299.1995034297, 719115.1154965329]","[758994.4517587583, 753138.439730253, 719115.1154965329]","[765413.5742945992, 760918.9910866647, 719115.1154965329]"
"[739869.2082714019, 713344.2973754619, 664788.7704740512]","[719678.3215695232, 709092.3369057303, 664788.7704740512]","[719710.9761903853, 713922.8759221114, 664788.7704740512]","[716958.212185898, 708516.1436413599, 664788.7704740512]","[721890.4294097149, 703615.3326485106, 664788.7704740512]","[705176.1465161435, 700305.2616727108, 664788.7704740512]","[726792.4598613566, 706405.7252532049, 664788.7704740512]","[715245.6607427379, 708567.1419776587, 664788.7704740512]","[721294.5174712206, 708161.4337218091, 664788.7704740512]","[715680.3344923977, 703086.3603025663, 664788.7704740512]","[724207.3638695744, 710365.4541639754, 664788.7704740512]","[713194.3748800058, 704365.7127661114, 664788.7704740512]","[707413.71074569, 702766.178822904, 664788.7704740512]","[712859.0097340607, 704681.2540426007, 664788.7704740512]","[708684.6190949994, 698763.8852538987, 664788.7704740512]","[704228.4507778325, 696849.816537094, 664788.7704740512]","[717445.4312437597, 715065.959781729, 664788.7704740512]","[719056.7633835463, 712221.8008739988, 664788.7704740512]","[702630.6849760591, 699694.411775517, 664788.7704740512]","[712856.7389526854, 705772.2030174884, 664788.7704740512]","[719479.9040339624, 704063.0643149866, 664788.7704740512]","[706672.0007752242, 704898.8364711212, 664788.7704740512]","[718371.9024543512, 705616.5336015364, 664788.7704740512]","[718383.3275757921, 712150.0810709198, 664788.7704740512]","[706338.557379267, 702125.0980170292, 664788.7704740512]","[705729.8719174593, 704332.2973650611, 664788.7704740512]","[699179.4062088528, 697465.6006139047, 664788.7704740512]","[738382.1416343852, 709931.4593937983, 664788.7704740512]","[720898.4460002172, 708627.8850093717, 664788.7704740512]","[720365.5550529205, 713668.7591216215, 664788.7704740512]","[707564.2769373219, 700765.3007911508, 664788.7704740512]","[704257.5220139471, 701599.0315836472, 664788.7704740512]","[719582.7381585229, 711953.623090145, 664788.7704740512]","[725713.7869066246, 707892.9217121754, 664788.7704740512]","[729693.8516433882, 710169.6326767354, 664788.7704740512]","[702044.9568284332, 698530.7620670691, 664788.7704740512]","[701080.3295452127, 701547.0848593491, 664788.7704740512]","[698355.9602286486, 697822.2417131279, 664788.7704740512]","[731064.1047574973, 708251.7846931819, 664788.7704740512]","[703058.2470018641, 702113.9469708967, 664788.7704740512]","[708065.1648676865, 702125.196325572, 664788.7704740512]","[730366.6179237737, 710925.9455698845, 664788.7704740512]","[704550.6441517441, 702206.0199037228, 664788.7704740512]","[714740.4733899633, 702185.4006555185, 664788.7704740512]","[700612.093997033, 699805.7082369385, 664788.7704740512]","[708194.3333511332, 700887.8308332578, 664788.7704740512]","[720758.8201245205, 710063.7546620091, 664788.7704740512]","[724377.4210110622, 711001.298859433, 664788.7704740512]","[720745.9483823125, 710443.259593579, 664788.7704740512]","[717249.978234335, 710669.3406273401, 664788.7704740512]"
"[742399.6930827805, 735340.7199102147, 694700.5338209393]","[733226.2957064634, 730941.3106992437, 694700.5338209393]","[737705.0108989184, 729730.2776116038, 694700.5338209393]","[735501.2890575533, 729431.1578308217, 694700.5338209393]","[741099.8557966448, 734500.7061484798, 694700.5338209393]","[735102.2060657488, 731864.9513853396, 694700.5338209393]","[754834.2605506716, 741138.7638626306, 694700.5338209393]","[732454.2806339626, 728328.2856692557, 694700.5338209393]","[729489.0035623008, 728070.6556385844, 694700.5338209393]","[729190.9006808818, 727906.6268317829, 694700.5338209393]","[736437.3098529517, 734033.7638340824, 694700.5338209393]","[753042.2666253882, 739297.9440595524, 694700.5338209393]","[730482.6460179277, 730028.5233813056, 694700.5338209393]","[744688.6889563507, 729772.2092935161, 694700.5338209393]","[744656.180099915, 737467.7998501007, 694700.5338209393]","[733176.0696824553, 725235.220357591, 694700.5338209393]","[736544.8634392321, 731934.035552785, 694700.5338209393]","[751383.1444524113, 745564.0888652706, 694700.5338209393]","[745110.9883273422, 727317.8938820089, 694700.5338209393]","[741325.614091009, 736114.7989338597, 694700.5338209393]","[732817.4857025052, 731027.8382952871, 694700.5338209393]","[737883.1075137823, 734352.5333541001, 694700.5338209393]","[745012.2418481375, 734686.6963711011, 694700.5338209393]","[728710.2773622323, 728530.6777120132, 694700.5338209393]","[738374.1050589544, 730394.8315836543, 694700.5338209393]","[727753.9269782637, 726501.0309280277, 694700.5338209393]","[737051.6148174368, 730523.776968446, 694700.5338209393]","[738550.3083341587, 733561.9867498351, 694700.5338209393]","[726148.1513009336, 725131.4509809728, 694700.5338209393]","[745594.24937374, 737200.2819108486, 694700.5338209393]","[743883.7910610362, 738703.454473373, 694700.5338209393]","[752514.8585916323, 731282.4641005055, 694700.5338209393]","[734510.921143137, 728601.2162584094, 694700.5338209393]","[743459.3719365769, 731484.5006986968, 694700.5338209393]","[741451.9622264047, 730430.5089181247, 694700.5338209393]","[745331.9036954892, 736350.2105099784, 694700.5338209393]","[728586.8037971765, 729432.5909050537, 694700.5338209393]","[734846.4976705012, 727813.4590459267, 694700.5338209393]","[726920.4023514608, 727059.459789702, 694700.5338209393]","[724425.262589604, 724848.2221067657, 694700.5338209393]","[735501.4050582286, 729136.376415991, 694700.5338209393]","[732355.3711769528, 725809.9796418641, 694700.5338209393]","[736964.2015835345, 728705.9545839403, 694700.5338209393]","[756877.4789421319, 739709.2361550353, 694700.5338209393]","[748988.7775527803, 733925.1942228138, 694700.5338209393]","[744303.4746752754, 738696.9650787965, 694700.5338209393]","[746491.5927298189, 737544.7046271369, 694700.5338209393]","[744894.0761023957, 728233.4954567458, 694700.5338209393]","[746654.6378365888, 733898.9721227712, 694700.5338209393]","[742383.34713704, 733659.6447040748, 694700.5338209393]"
"[704011.5791646923, 695634.1354635529, 656011.5361476782]","[696659.4317936766, 691681.5957506519, 656011.5361476782]","[695822.0669802844, 692405.89122232, 656011.5361476782]","[689364.2558836949, 686497.7001101063, 656011.5361476782]","[688948.9586766008, 685747.4611401918, 656011.5361476782]","[712669.0186229447, 698350.0468038719, 656011.5361476782]","[716781.2592944717, 699935.6499599149, 656011.5361476782]","[737464.4416457874, 711562.794903855, 656011.5361476782]","[700980.5684294153, 695733.5410410763, 656011.5361476782]","[702103.2016368108, 692414.4825192502, 656011.5361476782]","[697289.1974403679, 692438.7112648389, 656011.5361476782]","[699803.9649890134, 695770.0638114824, 656011.5361476782]","[735307.8396151349, 701284.6499197362, 656011.5361476782]","[700074.5427582852, 691791.6148139017, 656011.5361476782]","[689328.9040465939, 689747.2808727844, 656011.5361476782]","[694218.3154104349, 693073.0724724458, 656011.5361476782]","[694991.4040254707, 687874.6328835053, 656011.5361476782]","[700946.7998279218, 693796.6463919645, 656011.5361476782]","[699667.9543659561, 694511.9100583346, 656011.5361476782]","[696821.6953660463, 692735.1980473511, 656011.5361476782]","[722542.883534479, 696220.9530232069, 656011.5361476782]","[690677.2161931354, 690077.9640168488, 656011.5361476782]","[711426.4804942976, 705139.4652598158, 656011.5361476782]","[704951.5295365858, 692778.6928319156, 656011.5361476782]","[694183.7407472297, 687190.4096398464, 656011.5361476782]","[730917.2493829016, 703814.1887557182, 656011.5361476782]","[689506.7214231173, 689515.1961750239, 656011.5361476782]","[701060.6364029816, 694175.497329136, 656011.5361476782]","[700188.5848667793, 692257.9257402165, 656011.5361476782]","[701946.4978437382, 693609.7254475532, 656011.5361476782]","[705403.5072004115, 694900.7697897416, 656011.5361476782]","[688482.3449040701, 684705.9166933598, 656011.5361476782]","[691704.7480921152, 689194.3551060753, 656011.5361476782]","[693693.1836893938, 689939.9790605, 656011.5361476782]","[707418.4836698178, 697431.0791750231, 656011.5361476782]","[692558.983947517, 686110.3569579972, 656011.5361476782]","[690535.7326743025, 689711.9255397834, 656011.5361476782]","[714692.9495755427, 694851.6001946616, 656011.5361476782]","[711102.9373884648, 696624.6291467571, 656011.5361476782]","[706090.402299464, 698194.1813129799, 656011.5361476782]","[712633.3683583267, 700500.4223748109, 656011.5361476782]","[695275.9236804998, 693085.7283414773, 656011.5361476782]","[695148.0778034725, 691673.123855991, 656011.5361476782]","[689044.634589863, 688370.7233531259, 656011.5361476782]","[693094.7451222986, 690190.2157321327, 656011.5361476782]","[696295.8368156605, 690047.6279064133, 656011.5361476782]","[694144.6463305013, 690808.2474191384, 656011.5361476782]","[694098.0469960703, 688298.1139961293, 656011.5361476782]","[727319.6287715877, 699603.7275049433, 656011.5361476782]","[713162.4499197875, 697989.5811945446, 656011.5361476782]"
