,10,20,50,100,200,500,1000,10,20,50,100,200,500,1000
1,3.419,1.779,1.327,1.178,1.099,1.048,1.024,6.925,2.458,1.539,1.325,1.236,1.071,1.041
2,5.623,3.714,1.646,1.328,1.178,1.087,1.047,10.140,7.703,2.210,1.535,1.338,1.114,1.066
5,3.303,5.102,3.992,1.842,1.413,1.191,1.106,4.794,6.734,8.311,2.262,1.601,1.229,1.125
10,2.205,3.205,5.877,3.733,1.854,1.340,1.189,2.964,4.472,7.481,6.168,2.012,1.393,1.212
